state,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,JJ,Moderna,Pfizer,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Additional_Doses,Additional_Doses_18Plus,Additional_Doses_50Plus,Additional_Doses_65Plus,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,date,tot_case,tot_death,new_case,new_death
UT,4016039,3977136,3618852,837441,160756,1448361,2406628,2048267,2009852,1819554,360676,1772790,1772321,1609100,323862,154741,615714,1002326,154704,615678,1001930,154561,615315,839215,16107,138464,169290,290778,290168,215244,152169,100577,186589,3611,30/11/2021,595801,3528,1195,20
IA,4200551,4157750,3924341,1329526,161343,1690258,2348536,1975709,1935254,1812960,534006,1790001,1788048,1679153,502176,152694,686774,950280,152691,686765,948339,152607,686571,839724,14031,263916,224119,544522,544077,428219,295877,253908,284347,6263,30/11/2021,528221,7445,2763,91
MS,3179628,3171303,2992675,957389,80190,1303161,1794272,1598535,1590299,1491508,427152,1395862,1395759,1314949,394163,77766,551221,766233,77752,551209,766156,77675,550906,685746,17018,201291,175547,239894,239575,205406,144727,112289,124859,2504,30/11/2021,514171,10285,549,9
MA,11610003,11422128,10693508,2843359,366052,4508290,6735237,5912695,5745381,5350565,1314532,4906398,4886223,4549387,1073597,359242,1802207,2744795,359220,1802196,2724653,358002,1796896,2394352,71543,485032,516965,1124014,1123167,813129,524350,510062,602938,11011,30/11/2021,919097,19404,3602,31
CA,59597608,58877549,54671636,13488742,2079749,22581070,34921582,31147534,30508285,28185451,6312834,24958124,24879048,22995864,4978217,1986222,8982368,13985167,1985778,8981662,13907252,1978535,8956460,12056799,196451,2508359,2272066,5124890,5120074,3630030,2281734,2221249,2819393,83939,30/11/2021,5062641,73712,4667,56
HI,2084317,2059564,1933763,582934,55136,668664,1266453,1162342,1139933,1063604,293255,863884,860567,809825,237857,55051,275981,514708,55015,275930,511489,54885,275370,461443,10531,97744,128165,123074,122914,94863,66557,33465,88622,962,30/11/2021,84760,1007,75,0
AK,957508,944993,883128,197626,39334,373900,543526,459412,448240,415531,84056,396688,395349,367285,76499,35931,148538,212132,35928,148534,210800,35790,148143,183271,3388,42186,30889,104915,104618,72095,41895,46303,57511,1090,30/11/2021,145581,850,183,2
KS,3698563,3660965,3424029,1076804,120545,1440523,2134455,1929195,1893037,1763699,504357,1592112,1590595,1482316,415111,114386,596802,880381,114371,596794,878887,114268,596452,771120,17809,197896,199171,355717,355283,274272,189051,153485,197724,4424,30/11/2021,465290,6686,0,0
KY,5416861,5371180,5084601,1587517,210521,2254313,2950111,2691894,2648552,2492988,699217,2328897,2327044,2195529,627703,197292,924975,1205156,197261,924962,1203350,197155,924733,1072231,37563,286931,302467,572632,572098,451667,301396,252920,309063,10588,30/11/2021,785926,10943,2517,30
SC,6194615,6154265,5838863,2023015,204002,2414589,3574100,3102884,3065867,2893458,908492,2646396,2641639,2496294,789391,191339,978508,1476221,191295,978417,1471599,190745,976496,1328727,29924,336727,422545,553123,552652,463510,338666,212465,330802,9508,30/11/2021,918321,14210,485,1
WY,632809,629113,598250,205499,26607,280262,325371,310481,306766,289733,89132,263763,263742,250023,80314,24340,110609,128713,24337,110608,128696,24316,110590,115018,3714,40904,35649,69165,69062,56588,40615,30267,38033,836,30/11/2021,111089,1428,265,81
VA,13100880,12896301,12019480,3185049,448329,4719663,7925633,6451445,6271083,5813813,1375221,5542940,5523399,5117841,1209773,418133,1904565,3217424,417694,1904391,3198510,416242,1898982,2799993,70372,564891,573634,1308020,1306679,970134,625205,564657,722749,20414,30/11/2021,971529,14730,2413,20
NE,2597241,2567010,2403293,744444,85351,954776,1551845,1240506,1211362,1125161,298410,1110485,1109342,1032637,280485,82868,397006,629227,82847,396982,628131,82789,396841,551680,6699,136379,136554,298081,297748,223700,152581,113507,181954,2466,30/11/2021,311212,3158,1384,3
NM,3125326,3094641,2889321,867957,104132,1284291,1730342,1605513,1574211,1455179,396350,1331844,1330880,1230851,339426,101079,525439,703486,101064,525416,702560,100931,525044,603060,20309,158584,159604,356620,356170,265479,168864,137108,216139,3325,30/11/2021,314264,5367,1125,12
VT,1120308,1101887,1038328,348114,48984,443859,626590,533218,515114,481240,137621,454783,454679,424646,123717,45084,169229,240208,45067,169217,240133,45006,169179,210216,2493,59701,61370,158945,158768,121535,79288,67287,89155,2489,30/11/2021,46305,392,191,0
OK,4878303,4846020,4562916,1387884,135670,1984278,2757341,2485988,2455656,2302157,639491,2039094,2037358,1909819,530109,130357,800318,1108267,130342,800300,1106564,130265,800053,979367,19894,268892,241287,403298,402890,323206,226838,174907,223834,4540,30/11/2021,667512,11269,585,2
TX,37245206,36869218,33978712,7983196,1371063,14036726,21834482,18584093,18248870,16704996,3448722,15861342,15836888,14585838,3100084,1236138,5751152,8873684,1235821,5750577,8850123,1234615,5747057,7603820,169772,1479104,1451074,2852193,2846760,2086577,1293417,1266908,1545230,39948,30/11/2021,4316162,72607,6276,78
WV,1690860,1685653,1611268,611865,44372,766733,879281,966272,960957,916535,332326,744500,744134,712490,265656,46327,323388,374515,46312,323299,374253,46254,323084,342906,7273,135196,123074,57842,57792,46629,32692,18871,38470,488,30/11/2021,294794,4868,780,31
RI,1746372,1724894,1619768,474434,58915,665997,1020281,881393,860125,802801,202825,768877,767589,716475,181135,56273,275134,437186,56272,275128,435906,56248,275034,384911,6492,81803,92737,195936,195715,152684,100680,86145,107705,2079,30/11/2021,191763,2932,788,5
IN,7753762,7703112,7271805,2349582,277101,2841409,4608876,3748072,3698404,3470545,974292,3405083,3402617,3205536,924647,265084,1205263,1927056,265060,1205248,1924629,264815,1204950,1728181,29903,453014,438011,715662,714853,581002,412350,266082,440424,8780,30/11/2021,1101185,17557,4057,119
MD,9457903,9327414,8665093,2266431,330279,3500157,5613556,4651829,4535295,4186370,964537,4084425,4071414,3763678,879502,307686,1435780,2337365,307609,1435740,2324474,307421,1435277,2017557,53674,420050,404754,987923,986727,733461,466650,434519,535324,17858,30/11/2021,587284,11220,1141,14
MN,8249174,8108713,7590926,2289775,328126,3050428,4868049,3893070,3766605,3499575,919171,3523534,3509265,3261336,866493,312451,1248331,1961938,312434,1248313,1947705,311940,1246093,1702517,49704,364599,451946,1104132,1103258,819433,543762,433289,655642,15022,30/11/2021,912370,9506,12631,0
SD,1149804,1137223,1069387,354747,36172,457448,656052,592615,581316,543067,165341,483369,482241,453177,137818,35247,185976,262122,35244,185974,260999,35220,185911,232022,4707,68591,64505,114472,114386,92452,64973,50948,62363,1160,30/11/2021,166208,2334,1341,6
MT,1324087,1313568,1246364,445736,54182,563172,705192,638911,628507,592448,189704,554307,554190,523900,172214,50541,225335,278066,50535,225316,277974,50483,225217,247842,9669,82632,79731,160998,160784,126495,89135,71884,86439,2460,30/11/2021,191012,2671,588,33
AR,3524081,3494146,3275049,1038124,108274,1517267,1895272,1824522,1797484,1675916,475889,1488357,1485384,1387397,404514,103991,625908,757655,103870,625896,754817,103470,624796,658361,14974,227144,161956,312682,312354,247863,173462,144468,164272,3554,30/11/2021,528838,8667,1044,12
NC,13565247,13422886,12636472,3827583,459815,5071291,8033272,7371115,7243912,6816449,1969199,5686074,5673989,5324944,1458080,440633,2045376,3199945,440613,2045315,3187941,439229,2042448,2843150,50305,701858,705864,765630,764975,588291,388838,316799,436837,11986,30/11/2021,1534005,18740,1755,26
WA,11377078,11243078,10529129,2857028,438852,4295598,6634057,5552276,5422888,5050684,1186718,4953066,4948358,4614573,1098466,422660,1793620,2734071,422628,1793563,2729454,422335,1792862,2396722,56773,500731,539526,1173381,1171906,878417,594762,502051,655443,15530,30/11/2021,774465,9303,1396,46
IL,17923603,17664935,16495596,4542677,611460,6522451,10765363,8799259,8569345,7948299,1930172,7821119,7793892,7236296,1768370,588733,2705407,4519051,588672,2705292,4492001,586147,2697749,3944655,81931,790974,891972,1896513,1894557,1400666,920609,786461,1089112,20343,30/11/2021,1809875,29376,5714,27
MO,7400218,7339070,6933724,2237290,225878,2679960,4492077,3665290,3605983,3388096,975477,3126000,3124326,2940145,865730,221095,1099719,1804657,221071,1099706,1803020,220851,1099275,1619597,38626,393795,433149,683962,683354,545061,386724,260403,416565,6960,30/11/2021,910414,15444,3061,10
NJ,13498900,13363552,12453543,3278770,494306,5185848,7818099,7028706,6901663,6410133,1516311,6023574,6013859,5585548,1312840,477029,2183454,3362832,476944,2183413,3353243,476709,2182818,2925779,89075,611740,611944,1229336,1227867,929017,582540,541628,663635,24062,30/11/2021,1252705,28390,3251,42
OR,6201116,6124134,5758831,1717758,248073,2319124,3627607,3013928,2944767,2752972,728911,2699697,2692556,2521090,677917,233476,962074,1502449,233473,962070,1495320,232666,959230,1327590,51267,306262,319626,671460,670909,500263,353440,276939,384041,10265,30/11/2021,391099,5161,1033,19
ME,2235211,2206285,2087020,723496,130551,908316,1194208,1102535,1074312,1012232,311562,971808,971224,915259,275664,124695,365363,481294,124675,365356,480737,124620,365299,424922,23902,125497,126054,272903,272768,222094,153446,123137,144989,4556,30/11/2021,120600,1327,938,3
GA,12365170,12289760,11559746,3171914,302564,4942731,7106945,6270058,6197846,5784929,1381231,5269572,5266663,4948927,1228099,292530,2040176,2932764,292413,2040111,2930043,292079,2039292,2613704,33654,670643,521842,939937,938848,730517,483194,431727,498359,9529,30/11/2021,1664456,30510,1461,39
DE,1446819,1435355,1349748,461741,55088,561108,828911,711525,700780,657484,199807,599832,599412,562583,173064,53026,218281,327977,53016,218269,327579,52969,218154,290919,9608,71243,91917,140818,140698,117468,83663,59828,79195,1789,30/11/2021,153190,2178,286,5
WI,8194809,8105216,7648293,2518038,303270,3163672,4726355,3832519,3746580,3506219,1003365,3464470,3460803,3249136,943254,284440,1278724,1900791,284418,1278705,1897165,284234,1278389,1686022,29494,453937,459600,1008230,1007399,774637,530248,402226,594627,11346,30/11/2021,980783,10005,5912,50
NV,3963229,3940095,3703629,1028836,168239,1390792,2403689,2046546,2025241,1893044,468912,1678794,1677365,1576445,398258,161419,573118,944209,161415,573114,942788,161371,573016,842012,25048,184688,188495,309364,309195,243515,166674,124693,180135,4536,30/11/2021,470641,8017,898,32
MI,12750259,12622391,11949674,3875201,412629,5033778,7301940,6115092,5990378,5638154,1642027,5451997,5448235,5134695,1512054,394187,2058588,2998254,394163,2058566,2994540,393896,2057901,2682004,68842,755486,687172,1535341,1533916,1191807,796438,667196,848018,20091,30/11/2021,1484256,25530,9203,131
ID,1882862,0,1881417,626484,75292,767836,1037069,906583,0,903324,265222,808047,0,806238,243921,72450,309815,425146,0,0,0,72428,309788,423392,11654,112058,119940,216552,216547,170964,119649,89903,123875,2732,30/11/2021,306845,3929,636,8
NY,29921538,29693598,27861477,7015159,1242739,11008193,17658861,15220070,14997904,14023642,3249089,13324752,13316135,12457099,2863496,1160700,4693615,7467323,1160541,4693380,7459122,1159824,4691505,6602880,179324,1353599,1329275,1997033,1995276,1509880,974245,848742,1122369,25882,30/11/2021,1569506,22221,5170,36
FL,30948643,30771996,29169124,10506845,1326310,11613081,17897053,15422450,15261363,14396912,4539796,13184332,13174614,12461441,3950746,1271371,4630257,7249680,1270556,4629530,7241514,1269763,4628426,6530497,206692,1905538,1819095,2655035,2652610,2258992,1643779,1191926,1419809,40418,30/11/2021,3693516,61539,2096,0
PA,18310906,18121724,17124219,5548319,660933,7188711,10459918,10455826,10278662,9712837,3036998,7478745,7468849,7043278,2032270,662816,2783812,4031537,662748,2783661,4021861,662327,2781779,3598634,85087,955678,991242,1071194,1070173,836288,568628,483243,583722,4202,30/11/2021,1736920,33421,5766,113
OH,14419053,14278840,13525386,4473934,556914,5559642,8284559,6824256,6690913,6296591,1839334,6200220,6194744,5843720,1746314,515899,2276835,3402704,515888,2276824,3397250,515667,2276299,3047069,88672,789658,865612,1626563,1624910,1279430,886318,690924,909096,26259,30/11/2021,1690217,26587,6745,104
AL,5242493,5225472,4969835,1639392,154204,2308635,2779368,2772024,2755328,2610753,773969,2264466,2264332,2153363,666967,150574,962746,1150631,150565,962734,1150518,150489,962290,1040071,35483,353981,277166,419340,418789,351218,249867,197915,215278,6131,30/11/2021,846299,16143,593,0
AZ,9594424,9515168,8894385,2885001,322968,3842041,5410753,4680309,4603730,4269603,1220424,3979250,3978053,3706568,1075081,304692,1531350,2137908,304447,1531323,2136985,304255,1530719,1866359,47983,523771,500461,781987,780657,613681,431375,318956,454645,8078,30/11/2021,1269780,22307,2971,77
TN,8175906,8131308,7741081,2479154,234996,3131939,4768768,3881413,3837809,3629109,1017599,3383804,3383204,3210223,933169,217147,1240230,1916870,217100,1240208,1916344,216875,1239710,1744166,34476,462587,430971,795662,794449,631467,435079,328484,455489,10041,30/11/2021,1316384,17044,2196,43
CO,8613796,8487337,7947744,2004088,306451,3383055,4917558,4116507,4006223,3721608,810102,3642399,3626656,3373642,741840,289366,1360741,1990425,289339,1360718,1974735,288149,1357033,1726656,25814,354155,361190,1002034,1000781,688006,433687,450063,538853,12998,30/11/2021,829437,9193,2622,42
NH,2137363,2121361,1990501,617611,102007,808270,1227026,1191083,1175602,1113886,370547,880861,880167,828853,231871,76357,330894,473539,76331,330788,472977,76301,330636,421849,15950,96298,119588,51726,51677,40602,26811,21075,29676,967,30/11/2021,161244,1716,957,22
LA,5216884,5199936,4930437,1542213,175983,2150930,2887287,2583849,2566840,2417711,659353,2272670,2272434,2152042,624516,164236,910578,1196864,164210,910555,1196678,164063,910080,1076918,21836,296620,305854,444062,443565,363516,252977,176174,263043,4829,30/11/2021,770894,14801,589,7
CT,5997289,5925609,5518831,1603515,224938,2246289,3524879,2997942,2930871,2715463,695684,2567127,2563502,2376671,593099,217176,906560,1442965,217095,906271,1439713,216996,906074,1253281,21589,233389,338027,611057,610705,481991,315779,272442,331696,6905,30/11/2021,421692,8905,907,41
ND,896193,886774,843040,265462,35564,356324,503998,441631,433548,410258,115847,371573,370999,351516,98458,33562,139122,198886,33558,139117,198321,33421,138918,179174,4225,47217,47016,98389,98312,76017,52495,44863,52261,1264,30/11/2021,162976,1898,682,6
OR,6193364,6118047,5752862,1716351,247934,2316477,3622647,3011855,2943467,2751733,728711,2698260,2692055,2520649,677870,233403,961926,1501235,233400,961922,1495042,232593,959082,1327372,51259,306239,319610,666547,665999,497590,352188,274714,381427,10191,29/11/2021,390066,5142,517,26
TX,37168693,36810233,33922498,7967842,1368488,14010838,21786443,18563346,18236173,16693850,3446832,15842958,15827409,14577324,3098649,1234805,5748292,8859497,1234489,5747717,8844840,1233285,5744207,7599490,169655,1478424,1450437,2816401,2811037,2063302,1282205,1248578,1528876,38840,29/11/2021,4309721,72529,2951,148
NV,3956125,3934581,3698307,1027762,168071,1388806,2398739,2044888,2023831,1891713,468695,1676662,1676522,1575708,398183,161336,572982,942296,161332,572978,942164,161288,572880,841494,25040,184664,188452,306140,305975,241513,165894,123265,178428,4447,29/11/2021,469743,7985,397,13
CO,8594706,8473108,7933951,2001111,305950,3376006,4906039,4110350,4001717,3717343,809603,3637400,3624912,3372090,741621,289048,1360241,1986247,289021,1360219,1973811,287831,1356534,1725924,25790,354058,361093,993428,992187,682796,431418,445312,535200,12803,29/11/2021,826815,9151,4956,51
MO,7360098,7304067,6899504,2228499,225340,2663524,4468931,3653460,3597968,3380519,974287,3120430,3120263,2936420,865286,220806,1098428,1800668,220782,1098415,1800538,220562,1097984,1617452,38599,393550,432977,660903,660317,530273,379487,248659,405512,6699,29/11/2021,907353,15434,2369,91
NM,3120748,3090979,2885787,867220,104078,1282450,1727668,1604264,1573319,1454354,396207,1330974,1330577,1230603,339382,101064,525318,702752,101049,525295,702393,100916,524923,602948,20304,158559,159590,354099,353657,264053,168281,135787,214980,3284,29/11/2021,313139,5355,1012,45
NY,29854124,29634802,27804003,7000548,1241152,10981646,17619632,15198267,14982170,14008518,3246505,13313936,13308096,12449733,2862458,1159717,4691351,7459770,1159558,4691122,7454338,1158842,4689254,6598760,179205,1353118,1328841,1960095,1958363,1486326,963053,829404,1105334,25318,29/11/2021,1564336,22185,3994,35
MD,9433095,9308323,8646491,2261672,329495,3491634,5598105,4645154,4531017,4182323,963832,4079039,4069330,3761840,879222,307370,1435200,2332887,307293,1435160,2323298,307105,1434697,2016624,53644,419928,404626,974126,972952,724702,462772,427828,528733,17352,29/11/2021,586143,11206,2006,20
IL,17881491,17631423,16462964,4535012,610849,6508114,10738244,8787416,8560213,7939568,1928341,7810084,7788835,7231719,1767168,588322,2703818,4510028,588261,2703703,4488956,585736,2696162,3942088,81860,790367,891451,1875427,1873495,1388577,915645,776637,1078113,20081,29/11/2021,1804161,29349,3853,91
WV,1690796,1685591,1611208,611836,44370,766716,879236,966073,960777,916361,332274,744422,744074,712433,265644,46314,323376,374463,46299,323287,374219,46241,323072,342875,7273,135192,123067,57752,57702,46565,32659,18836,38420,483,29/11/2021,294014,4837,625,20
VA,13075460,12875732,11999445,3181611,447766,4710196,7910244,6444314,6265186,5808141,1374349,5537205,5521202,5115940,1209601,417845,1904006,3212539,417417,1903832,3197152,415965,1898423,2798930,70331,564818,573577,1295552,1294235,963278,622715,558410,716789,20153,29/11/2021,969116,14710,4229,54
AZ,9580846,9503530,8883226,2882435,322749,3837009,5402434,4676063,4601114,4267291,1220026,3977260,3976402,3705091,1074879,304547,1530858,2136558,304302,1530831,2135974,304111,1530227,1865521,47972,523660,500383,774562,773238,609085,429452,315409,450845,8000,29/11/2021,1266809,22230,1961,1
MT,1320270,1310248,1243125,444896,54044,561864,702822,637919,627956,591929,189628,553881,553814,523567,172174,50457,225236,277823,50451,225217,277781,50400,225118,247691,9664,82615,79713,158783,158574,125074,88512,70924,85240,2405,29/11/2021,190424,2638,353,7
AK,949474,938954,877269,196591,39146,370793,538787,456888,447311,414700,83980,395581,394630,366640,76458,35810,148289,211395,35807,148285,210451,35669,147894,182996,3382,42166,30874,100548,100259,69655,40998,43874,55637,1026,29/11/2021,145398,848,706,1
MI,12619775,12506534,11836498,3847085,409725,4977361,7230780,6085874,5972370,5621632,1639533,5439034,5438635,5126126,1510955,392878,2055736,2989453,392855,2055715,2989100,392590,2055054,2677589,68713,754903,686785,1446016,1444735,1136366,771890,620852,806602,18526,29/11/2021,1475053,25399,5571,98
ME,2211874,2185078,2066194,718054,129834,898161,1181781,1098208,1071520,1009630,311046,969658,969588,913807,275422,124387,364896,479923,124367,364889,479880,124312,364833,424248,23861,125379,125971,256479,256351,211147,148838,114898,137213,4156,29/11/2021,119662,1324,1173,21
PA,18263881,18081699,17085169,5540009,659912,7171015,10431610,10435081,10262777,9697498,3034395,7469481,7461770,7036667,2031172,661969,2781487,4025445,661901,2781336,4017954,661480,2779455,3595194,84990,955150,990769,1051894,1050906,824862,563495,473799,574093,3976,29/11/2021,1731154,33308,5252,25
GA,12229399,12167590,11440946,3145574,300237,4890834,7025568,6237536,6176396,5765243,1378647,5248351,5247565,4931242,1225207,291374,2033636,2919289,291260,2033572,2918686,290928,2032755,2603754,33561,669088,520616,861898,860909,682243,463317,395421,457743,8421,29/11/2021,1662995,30471,704,113
AL,5229021,5213830,4958464,1635995,154009,2303549,2771177,2767489,2752541,2608087,773540,2262464,2262347,2151518,666665,150476,962088,1149386,150467,962076,1149290,150391,961633,1038982,35471,353828,277029,412609,412066,346268,247250,194557,212001,6036,29/11/2021,845706,16143,612,0
NH,2133848,2118298,1987485,616714,101915,807234,1224639,1188240,1172916,1111226,369700,880356,879935,828638,231839,76277,330864,473144,76251,330758,472855,76221,330606,421744,15927,96294,119583,51540,51491,40485,26778,21014,29556,962,29/11/2021,160287,1694,916,11
WY,630922,627371,596551,205145,26555,279322,324476,309914,306341,289327,89083,263454,263434,249736,80291,24307,110475,128571,24304,110474,128555,24283,110456,114898,3713,40887,35644,68188,68086,55948,40322,29699,37640,820,29/11/2021,110824,1347,560,0
HI,2079818,2056829,1931182,582182,55028,667726,1263000,1160757,1138997,1062734,293080,862143,859956,809303,237749,54974,275869,513156,54938,275818,511067,54808,275258,461110,10519,97709,128104,121697,121538,93932,66063,32914,87826,932,29/11/2021,84685,1007,70,0
NE,2557916,2531814,2368991,736743,84813,940366,1527484,1232655,1206603,1120868,297904,1106529,1106403,1030062,280257,82572,396255,626323,82551,396231,626244,82493,396091,550156,6686,136282,136437,271618,271322,207778,145983,101950,167288,2229,29/11/2021,309828,3155,1932,9
KS,3664261,3631404,3395422,1070475,119905,1428701,2112626,1919074,1885970,1757132,503384,1586893,1586792,1478892,414815,114012,595922,876419,113998,595914,876340,113898,595572,768948,17793,197773,199014,337579,337186,263336,184142,145340,187972,4184,29/11/2021,465290,6686,827,13
MA,11587086,11404318,10676059,2839582,365617,4498329,6722716,5906528,5740585,5345927,1313555,4901041,4884587,4547951,1073354,358940,1801657,2740291,358918,1801646,2723870,357700,1796346,2393769,71478,484911,516908,1111465,1110628,806083,521649,502775,597822,10865,29/11/2021,915495,19373,5790,22
VT,1119023,1100694,1037159,347872,48957,443212,625979,532935,514920,481056,137579,454670,454579,424553,123692,45070,169185,240153,45053,169173,240091,44992,169135,210181,2486,59689,61364,157980,157811,120970,79093,66749,88745,2472,29/11/2021,46114,392,1824,4
IN,7745184,7695653,7264545,2348178,276915,2838107,4603791,3745652,3696897,3469137,973989,3404193,3401930,3204946,924600,264987,1205115,1926411,264963,1205100,1924187,264718,1204802,1727836,29895,452986,438000,710158,709386,577812,411272,263517,437584,8682,29/11/2021,1097128,17438,2528,52
ID,1881077,0,1879667,626150,75229,767086,1036097,906042,0,902828,265133,807761,0,805959,243890,72392,309745,424988,0,0,0,72370,309718,423241,11652,112045,119924,215337,215332,170249,119370,89358,123225,2712,29/11/2021,306209,3921,447,22
WA,11268717,11160402,10448672,2838522,436798,4257967,6565412,5520316,5412268,5041057,1185246,4939606,4939006,4606341,1097565,421691,1791308,2723899,421659,1791251,2723390,421366,1790552,2391776,56692,500344,539095,1111668,1110280,842853,579018,470885,625928,14507,29/11/2021,773069,9257,986,49
IA,4131341,4094858,3862720,1314226,159760,1661270,2309899,1963467,1927290,1805653,532847,1782950,1782894,1674546,501567,152013,685281,945404,152011,685276,945355,151927,685083,837286,13992,263539,223926,496407,496017,398096,282711,230697,260243,5464,29/11/2021,525458,7354,2600,0
UT,4016039,3977136,3618852,837441,160756,1448361,2406628,2048134,2009729,1819434,360662,1772762,1772302,1609083,323862,154736,615712,1002305,154699,615676,1001918,154556,615313,839205,16107,138464,169290,290728,290118,215231,152165,100549,186567,3611,29/11/2021,594606,3508,2476,21
ND,893809,884856,841192,265050,35493,355596,502414,440825,433016,409760,115784,371126,370716,351263,98428,33528,139068,198527,33524,139063,198126,33387,138864,179009,4224,47204,47000,97110,97038,75228,52174,44291,51592,1226,29/11/2021,162294,1892,992,15
TN,8141958,8100983,7711550,2472304,234403,3118477,4748906,3873071,3832809,3624465,1017019,3379781,3379355,3206755,932641,216854,1239050,1914320,216807,1239028,1913968,216582,1238531,1742170,34450,462255,430801,775136,773943,618232,429510,318482,445271,9737,29/11/2021,1314188,17001,718,17
SD,1140967,1130453,1062844,353237,36001,454433,650401,589519,579238,541121,165046,481463,481359,452384,137732,35118,185721,260600,35115,185719,260501,35091,185656,231613,4702,68545,64470,110476,110392,89924,63771,49007,60359,1109,29/11/2021,164867,2328,575,8
NC,13472803,13347086,12563440,3804445,456945,5034757,7980232,7337427,7220928,6794885,1963854,5670789,5664161,5316224,1456820,438950,2042516,3189203,438930,2042457,3182654,437548,2039591,2838968,50088,701252,705427,722738,722146,558444,372636,294487,417348,10895,29/11/2021,1532250,18714,1636,38
FL,30898413,30731206,29129183,10495461,1324875,11593489,17867879,15412472,15253530,14389474,4538250,13172459,13169619,12456882,3949996,1270731,4628814,7239900,1269917,4628087,7238611,1269125,4626983,6528029,206628,1905153,1818802,2626209,2623804,2238532,1634655,1176310,1407406,39614,29/11/2021,3691420,61539,1632,1
CA,59522458,58815189,54611716,13478286,2078282,22552459,34876513,31128095,30493087,28171390,6310641,24940240,24869758,22987833,4977176,1985402,8979566,13970905,1984958,8978860,13901584,1977716,8953658,12052389,196383,2507777,2271675,5084954,5080184,3608917,2274344,2201009,2800360,83276,29/11/2021,5057974,73656,4196,291
MN,8151634,8025953,7510405,2272515,326169,3011077,4811851,3875845,3758103,3491948,918111,3511341,3503008,3256347,865989,311735,1246733,1952071,311718,1246715,1943774,311225,1244496,1699852,49649,364367,451733,1037151,1036339,781232,528391,399392,623730,13859,29/11/2021,899739,9506,4510,44
MS,3179627,3171302,2992674,957388,80190,1303161,1794271,1598384,1590167,1491385,427127,1395817,1395719,1314909,394160,77763,551206,766206,77749,551194,766134,77672,550891,685724,17018,201289,175546,239820,239501,205368,144708,112257,124821,2500,29/11/2021,513622,10264,202,1
RI,1743231,1722319,1617226,474005,58860,664683,1018510,878795,858104,800834,202559,767741,766830,715773,181083,56247,274939,436271,56246,274933,435368,56222,274839,384430,6488,81785,92707,193169,192956,151189,100226,84941,106170,2051,29/11/2021,190975,2927,486,12
OH,14396558,14259477,13506435,4469890,556554,5551682,8270386,6820747,6688376,6294216,1839071,6196181,6192797,5842008,1746146,515705,2276431,3399264,515694,2276420,3395902,515473,2275895,3045956,88667,789593,865515,1611489,1609857,1270175,882694,684150,900964,26091,29/11/2021,1683472,26483,5731,0
CT,5970563,5902998,5496681,1599705,224350,2234241,3510789,2991370,2926036,2710832,694886,2563141,2561810,2375209,592964,216886,906093,1439737,216805,905804,1438779,216706,905607,1252577,21552,233346,337973,595394,595061,472521,312947,263734,325032,6614,29/11/2021,420785,8864,2312,-1
LA,5212443,5195785,4926443,1541350,175920,2148981,2884858,2582742,2566027,2416974,659285,2272068,2271844,2151536,624483,164202,910424,1196450,164176,910401,1196276,164029,909926,1076600,21833,296606,305838,441617,441123,361974,252335,174961,261844,4796,29/11/2021,770305,14794,254,17
KY,5410039,5365680,5079287,1586585,210465,2252065,2945593,2690247,2647322,2491844,699070,2327338,2326406,2194984,627668,197259,924791,1203814,197228,924778,1202929,197122,924549,1071903,37560,286918,302448,568955,568427,449495,300634,251293,307037,10565,29/11/2021,783409,10913,2728,61
OK,4872320,4841474,4558498,1386842,135605,1982544,2753157,2484400,2454299,2300851,639210,2037198,2036642,1909180,530038,130316,800113,1106617,130301,800095,1106094,130224,799848,978974,19885,268865,241252,400683,400279,321636,226127,173851,222305,4510,29/11/2021,666927,11267,758,44
SC,6186384,6147203,5831984,2021373,203895,2410551,3570014,3100338,3063855,2891534,908090,2644436,2640580,2495349,789272,191263,978106,1474740,191219,978015,1471019,190669,976094,1328261,29913,336667,422498,548581,548111,460423,337325,209690,329084,9459,29/11/2021,917836,14209,449,4
WI,8186207,8098273,7641537,2516568,303060,3160374,4721262,3830306,3744912,3504646,1003042,3462365,3459951,3248406,943154,284315,1278507,1899029,284293,1278488,1896656,284109,1278172,1685635,29484,453889,459559,1002421,1001598,771196,528902,399224,591928,11240,29/11/2021,974871,9955,6580,11
DE,1387562,1382457,1298116,444885,53702,534655,797534,695704,690468,647788,197691,593485,593406,557038,171937,52455,215883,324613,52445,215871,324556,52398,215758,288355,9541,70655,91454,109104,109020,94022,71280,43274,64733,1091,29/11/2021,152904,2173,234,0
